date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-08-01,15.6,13.2,17.9,3.4,,235,12.6,27.8,1010.9,
2021-08-02,14.9,12.4,17.6,3,,250,7,16.7,1014.4,
2021-08-03,14.5,12.4,17,10.2,,73,6.4,16.7,1013.7,
2021-08-04,15.7,10.7,20.1,0,,133,6.5,16.7,1013.6,
2021-08-05,17.1,13.3,20.5,0,,203,7.7,20.4,1009.4,
2021-08-06,17.7,16.1,20,4.7,,204,19.8,44.5,1003.9,
2021-08-07,17.2,14.9,20.2,2.8,,200,18.8,40.8,1003.6,
2021-08-08,16,13.8,18.2,0,,216,25.5,46.3,1009.5,
2021-08-09,16.4,13.5,19.3,2.9,,203,18.6,40.8,1016,
2021-08-10,17.3,14.4,20.3,0,,214,13.8,31.5,1017.1,
2021-08-11,18.2,13.9,22.6,0,,221,8.2,22.2,1019.6,
2021-08-12,19.4,13.1,25.3,0,,213,6.2,16.7,1019.9,
2021-08-13,20,16.7,23.8,0,,227,9.8,27.8,1021.4,
2021-08-14,18.7,12.8,24.4,0,,227,10,27.8,1021.6,
2021-08-15,20.2,14.5,25.7,0,,212,10.7,25.9,1015,
2021-08-16,15.3,12.1,18.4,4.2,,248,17.1,37,1013.6,
2021-08-17,13.3,10.8,15.8,3.5,,233,16.5,33.3,1018.8,
2021-08-18,16.3,13.6,19.3,1.4,,237,14.5,29.6,1016.7,
2021-08-19,16.9,15.2,19.1,0,,231,14.8,29.6,1015.3,
2021-08-20,17.2,13.7,21.2,0,,225,10.5,25.9,1017.2,
2021-08-21,19.5,14.5,24.5,0.8,,168,6.7,16.7,1017.6,
2021-08-22,17,15.8,18.3,10,,232,15.3,33.3,1016.7,
2021-08-23,16.8,13.9,20.3,0,,348,10.9,25.9,1022.5,
2021-08-24,16.5,11.8,20.7,0,,42,14.7,35.2,1026.3,
2021-08-25,15.7,9.8,20.8,0,,28,8.8,20.4,1023.1,
2021-08-26,15.5,13.6,17.9,0,,310,12.4,29.6,1016.4,
2021-08-27,13.8,10.9,16.5,2.3,,319,10.7,27.8,1018.5,
2021-08-28,14,12,16.4,7.4,,333,11.4,27.8,1019.9,
2021-08-29,13.9,12.4,15.7,12.2,,326,11,24.1,1020.1,
2021-08-30,16,13.6,19.2,0.9,,1,12.3,25.9,1020,
2021-08-31,16,12.6,19.9,0,,2,10.1,24.1,1024.5,
