Date, Hour, temp, dwpt, rhum, prcp, snow, wdir, wspd, wpgt, pres, tsun, coco
2021-08-01,00,14.1,13.0,93,0.0,,216,9.3,14.8,1010.9,,4
2021-08-01,01,13.8,12.9,94,0.0,,212,11.1,16.7,1010.6,,4
2021-08-01,02,13.6,13.0,96,0.0,,213,11.1,16.7,1010.3,,4
2021-08-01,03,13.4,12.5,94,0.0,,215,13.0,18.5,1010.3,,4
2021-08-01,04,13.2,12.6,96,0.0,,217,13.0,18.5,1010.1,,4
2021-08-01,05,13.2,12.6,96,0.0,,219,13.0,20.4,1010.1,,4
2021-08-01,06,13.7,12.8,94,0.0,,223,14.8,22.2,1010.3,,4
2021-08-01,07,14.5,12.7,89,0.0,,228,14.8,24.1,1010.4,,4
2021-08-01,08,15.5,12.8,84,0.0,,232,16.7,25.9,1010.5,,4
2021-08-01,09,16.3,12.8,80,0.0,,236,16.7,27.8,1010.7,,4
2021-08-01,10,17.2,12.9,76,0.0,,239,16.7,27.8,1010.7,,4
2021-08-01,11,17.6,13.3,76,0.0,,239,16.7,27.8,1010.6,,4
2021-08-01,12,17.8,13.3,75,0.0,,243,14.8,27.8,1010.3,,4
2021-08-01,13,17.9,13.4,75,0.4,,244,14.8,27.8,1010.5,,18
2021-08-01,14,17.9,13.4,75,0.6,,250,14.8,27.8,1010.6,,18
2021-08-01,15,17.6,13.3,76,0.5,,256,13.0,25.9,1010.9,,17
2021-08-01,16,17.5,13.2,76,0.4,,257,13.0,24.1,1011.1,,18
2021-08-01,17,17.2,13.3,78,0.3,,259,11.1,24.1,1011.4,,18
2021-08-01,18,16.8,13.3,80,0.3,,261,11.1,22.2,1011.7,,18
2021-08-01,19,16.0,13.3,84,0.4,,258,9.3,18.5,1012.2,,17
2021-08-01,20,15.5,13.2,86,0.3,,260,7.4,16.7,1012.6,,17
2021-08-01,21,14.8,13.2,90,0.2,,251,7.4,14.8,1013.0,,17
2021-08-01,22,14.0,13.4,96,0.0,,244,7.4,14.8,1013.3,,4
2021-08-01,23,13.8,13.2,96,0.0,,248,7.4,13.0,1013.2,,4
2021-08-02,00,13.4,12.9,97,0.0,,240,7.4,13.0,1013.2,,4
2021-08-02,01,13.2,12.7,97,0.0,,232,7.4,13.0,1013.2,,4
2021-08-02,02,12.9,12.4,97,0.0,,227,7.4,13.0,1013.4,,4
2021-08-02,03,12.7,12.2,97,0.0,,224,7.4,13.0,1013.5,,4
2021-08-02,04,12.4,12.2,99,0.0,,235,7.4,13.0,1013.4,,4
2021-08-02,05,12.6,12.4,99,0.0,,229,7.4,13.0,1013.7,,4
2021-08-02,06,13.2,12.7,97,0.0,,231,7.4,13.0,1014.1,,4
2021-08-02,07,13.7,12.9,95,0.0,,239,7.4,14.8,1014.4,,4
2021-08-02,08,14.6,13.0,90,0.0,,246,7.4,14.8,1014.6,,4
2021-08-02,09,15.2,13.0,87,0.0,,253,7.4,14.8,1014.7,,4
2021-08-02,10,15.8,13.1,84,0.7,,268,7.4,14.8,1014.8,,17
2021-08-02,11,15.9,12.8,82,0.5,,263,7.4,14.8,1015.0,,17
2021-08-02,12,16.5,12.8,79,0.4,,264,7.4,16.7,1015.1,,17
2021-08-02,13,16.9,12.8,77,1.4,,274,7.4,16.7,1015.1,,7
2021-08-02,14,17.3,12.6,74,0.0,,281,7.4,16.7,1015.0,,4
2021-08-02,15,17.4,12.5,73,0.0,,293,7.4,16.7,1014.8,,4
2021-08-02,16,17.6,12.3,71,0.0,,292,5.5,14.8,1014.9,,4
2021-08-02,17,17.4,12.5,73,0.0,,297,7.4,14.8,1014.9,,4
2021-08-02,18,16.8,12.5,76,0.0,,310,5.5,13.0,1014.9,,4
